shape_id,lat,lon,shape_pt_sequence
155,50.068066,14.346664,1
155,50.06807,14.346778,2
155,50.068079,14.347029,3
155,50.068088,14.34728,4
155,50.068096,14.347531,5
155,50.068105,14.347781,6
155,50.068113,14.348033,7
155,50.068116,14.348158,8
155,50.068119,14.348283,9
155,50.068124,14.348492,10
155,50.068131,14.348701,11
155,50.068137,14.348869,12
155,50.068143,14.349035,13
155,50.068151,14.349285,14
155,50.06816,14.349536,15
155,50.068168,14.349787,16
155,50.068171,14.349872,17
155,50.068177,14.350042,18
155,50.068186,14.350292,19
155,50.068195,14.350543,20
155,50.068204,14.350794,21
155,50.068212,14.351045,22
155,50.068216,14.351158,23
155,50.068221,14.351292,24
155,50.06823,14.35154,25
155,50.068239,14.351791,26
155,50.068243,14.351892,27
155,50.068248,14.351992,28
155,50.068254,14.35211,29
155,50.068262,14.352228,30
155,50.068267,14.3523,31
155,50.068272,14.352356,32
155,50.068279,14.352429,33
155,50.068285,14.352484,34
155,50.068297,14.352602,35
155,50.068312,14.352719,36
155,50.068327,14.352835,37
155,50.068345,14.352952,38
155,50.068357,14.353034,39
155,50.068368,14.353097,40
155,50.068382,14.353178,41
155,50.068394,14.353242,42
155,50.068416,14.353361,43
155,50.06846,14.353603,44
155,50.068504,14.353845,45
155,50.068548,14.354086,46
155,50.068584,14.354284,47
155,50.068584,14.354284,48
155,50.068592,14.354328,49
155,50.068607,14.35441,50
155,50.068623,14.354501,51
155,50.06864,14.354593,52
155,50.068668,14.354754,53
155,50.068695,14.354916,54
155,50.068716,14.355037,55
155,50.068734,14.355139,56
155,50.068752,14.355241,57
155,50.068781,14.355402,58
155,50.06881,14.355563,59
155,50.068855,14.355804,60
155,50.068899,14.356046,61
155,50.068947,14.356306,62
155,50.068991,14.356547,63
155,50.069035,14.356788,64
155,50.069079,14.357029,65
155,50.069123,14.35727,66
155,50.069168,14.357512,67
155,50.069211,14.357751,68
155,50.069269,14.358068,69
155,50.069297,14.358225,70
155,50.069318,14.358343,71
155,50.069337,14.358462,72
155,50.069348,14.358531,73
155,50.069359,14.358601,74
155,50.069379,14.35874,75
155,50.069398,14.358879,76
155,50.069417,14.359026,77
155,50.069435,14.359174,78
155,50.069447,14.359291,79
155,50.069459,14.359409,80
155,50.069471,14.359536,81
155,50.069482,14.359664,82
155,50.069491,14.359783,83
155,50.069499,14.3599,84
155,50.069507,14.360018,85
155,50.069514,14.360137,86
155,50.069519,14.360266,87
155,50.069525,14.360394,88
155,50.069528,14.360504,89
155,50.069531,14.360613,90
155,50.069532,14.360636,91
155,50.069532,14.360648,92
155,50.069534,14.36073,93
155,50.069541,14.360983,94
155,50.069548,14.361234,95
155,50.069555,14.361485,96
155,50.069567,14.361907,97
155,50.069567,14.36192,98
155,50.069575,14.362198,99
155,50.06958,14.362382,100
155,50.069586,14.36256,101
155,50.06959,14.362727,102
155,50.069596,14.362921,103
155,50.069596,14.362921,104
155,50.069597,14.362933,105
155,50.069604,14.363167,106
155,50.06961,14.36339,107
155,50.069617,14.363635,108
155,50.069622,14.363812,109
155,50.069628,14.364011,110
155,50.069637,14.364206,111
155,50.069646,14.364389,112
155,50.069657,14.364571,113
155,50.069669,14.364759,114
155,50.06968,14.364914,115
155,50.069684,14.36498,116
155,50.069693,14.365099,117
155,50.069694,14.365112,118
155,50.069704,14.365269,119
155,50.069727,14.365565,120
155,50.069748,14.365832,121
155,50.069771,14.366106,122
155,50.069792,14.366372,123
155,50.069813,14.366627,124
155,50.069837,14.366917,125
155,50.069857,14.367176,126
155,50.069873,14.367368,127
155,50.069891,14.367589,128
155,50.069913,14.367856,129
155,50.069932,14.368092,130
155,50.069953,14.368341,131
155,50.069973,14.3686,132
155,50.069991,14.368842,133
155,50.070014,14.369139,134
155,50.070028,14.369342,135
155,50.070039,14.369557,136
155,50.070051,14.369814,137
155,50.070062,14.370077,138
155,50.070068,14.370361,139
155,50.070073,14.370609,140
155,50.070073,14.370629,141
155,50.070072,14.370629,142
155,50.070073,14.37083,143
155,50.070072,14.371114,144
155,50.070069,14.37137,145
155,50.070063,14.371624,146
155,50.070054,14.371896,147
155,50.070048,14.372051,148
155,50.070036,14.372297,149
155,50.070022,14.372555,150
155,50.070006,14.372839,151
155,50.069997,14.373025,152
155,50.069992,14.373097,153
155,50.069992,14.37318,154
155,50.069992,14.373264,155
155,50.069993,14.373265,156
155,50.069995,14.373325,157
155,50.069997,14.373375,158
155,50.070001,14.373433,159
155,50.070005,14.373488,160
155,50.070009,14.373524,161
155,50.070015,14.373575,162
155,50.07002,14.373608,163
